T,X,V
0,467.8091814803185,0.0
1,467.84755515690017,0.0
2,467.8435436575633,0.0
3,467.839532133751,0.0
4,467.82627595588065,0.0
5,467.78179759930396,0.0
6,467.6384211992775,0.0
7,467.28556259200536,0.0
8,466.4910635779829,-1.0736638219001406
9,465.1382349482051,-1.6345228057786017
10,463.2220179664257,-2.1578814481940185
11,460.82247205181704,-2.6292628704988203
12,457.96349222542807,-2.9492452646638867
13,454.92398152248927,-3.0502388103653573
14,451.86301460469736,-3.048410381768207
15,448.82716075895286,-3.0491116728760517
16,445.76479125894525,-3.020334170333541
17,442.7864924182858,-3.0311491500004024
18,439.70249295894445,-3.0620242642046946
19,436.6624438898764,-3.013799147279258
20,433.67489466438593,-2.98781187273579
21,430.6868201444048,-3.0657840448757554
22,427.5433265746344,-3.0637795227274296
23,424.55926109894995,-2.994270189094209
24,421.554786196446,-3.0536647700845663
25,418.4519315587808,-3.088031471111975
26,415.37872325422205,-3.0997226712669033
27,412.252486216247,-3.0976354311067382
28,409.1834523920086,-3.1047895245711743
29,406.04290716710466,-3.144644621325881
30,402.8941631493568,-3.1517983926061675
31,399.7393103818923,-3.1813673685055903
32,396.53142841234563,-3.1877376152664567
33,393.3638351513594,-3.150682345842995
34,390.23006372065964,-3.123309168625042
35,387.1172168141093,-3.073601740258141
36,384.08286024014336,-3.0558101510225697
37,381.0055965120642,-3.034964729724436
38,378.0129307806945,-2.9814988886334106
39,375.04259873479737,-3.0449935867612794
40,371.92294360717193,-3.068639626398891
41,368.9053194819996,-3.007161825614901
42,365.90861995594213,-3.026268581809603
43,362.8527823183804,-3.026457017078883
44,359.85570592178436,-3.046347435065087
45,356.7600874482502,-3.077300570710946
46,353.70110478036247,-3.0008177863614947
47,350.7584518755272,-3.0976416983625086
48,347.50582138363745,-3.252187274440047
49,344.2540773266471,-3.2711107863539155
50,340.9635998109296,-3.154075072072146
51,337.9459271825028,-2.999092663749991
52,334.96541448342964,-3.0612135408782137
