t_start,x_avg,duration
8,298.7772795329725,48
71,266.69020206662555,32
119,298.59909344364235,39
205,210.72451827733343,51
279,252.28637661904065,147
483,389.15685654839814,35
532,424.69364825353625,147
693,399.49747966350884,59
756,399.1051772675592,21
801,367.8235035045464,213
1072,400.31754637520663,14
1114,467.0924326795816,48
1213,328.73557612040514,111
1336,308.1827437822286,97
1437,302.9916130795927,17
1472,307.22255860443136,137
1611,308.88976963933317,287
1914,340.2846957807927,36
1999,466.96314637952287,45
2053,459.28493867917837,14
2171,208.45807103526022,52
2274,315.90255714615245,43
2320,317.3862475681343,19
2361,269.1737688472206,44
2462,426.0182520787175,47
2518,438.36778551496917,79
2658,270.42026568878293,212
2873,269.9119522328453,120
3032,354.1934296738517,166
3224,414.6495751476756,37
3290,342.27724884145084,42
3379,467.8954514176262,47
3477,328.7380261320688,43
3546,387.32669303411205,33
