T,X,V,CRANESTOPPED
0,289.6245182822587,-0.5005372052531811,1
1,289.1239810770055,0.0,0
2,288.8694913118584,0.0,0
3,289.1395834907516,0.0,0
4,289.0457414972438,0.0,0
5,288.95579765891074,0.0,0
6,289.13932408980946,0.0,0
7,289.2188695648922,0.0,0
8,289.46114551292567,0.0,0
9,289.4248819513291,0.0,0
10,289.58098364423097,0.0,0
11,289.69367304047495,0.0,0
12,289.70394138703443,0.0,0
13,289.7428045624409,0.0,0
14,289.6315446379288,0.0,0
15,289.5586279507678,0.0,0
16,289.4606255780833,0.0,0
17,289.3284393382333,0.0,0
18,288.93929017077426,-0.6463071921404833,1
19,288.03582495395233,-1.1497713987611462,1
20,286.63974737325196,-1.7153016504895788,1
21,284.60522165297317,-2.302799731510561,1
22,282.03414791023084,-2.7518107374323506,1
23,279.10160017810847,-2.9822682678357637,1
24,276.0696113745593,-3.0210732009986714,1
25,273.0594537761111,-2.9783153347298423,1
26,270.11298070509963,-2.9375099900902626,1
27,267.1844337959306,-2.9331634452959747,1
28,264.2466538145077,-2.861810004362667,1
29,261.46081378720527,-2.8274945848922357,1
30,258.5916646447232,-2.843553436144333,1
31,255.7737069149166,-2.907452633584086,1
32,252.77675937755504,-3.0857238402735163,1
33,249.60225923436957,-3.0232155747473684,1
34,246.7303282280603,-3.043772139856202,1
35,243.51471495465717,-3.2408380691741883,1
36,240.24865208971192,-3.1141750416285845,1
37,237.2863648714,-2.987049067451707,1
38,234.2745539548085,-2.9980376043799453,1
39,231.2902896626401,-2.8807379706342573,1
40,228.51307801354,-2.5563777592281554,1
41,226.1775341441838,-2.054583306455214,1
42,224.40391140062957,-1.4883091210660524,1
43,223.2009159020517,-0.9635669812547434,1
44,222.47677743812008,-0.5043932129805881,1
45,222.1921294760905,0.0,0
46,222.11154212082863,0.0,0
47,222.01521468677876,0.0,0
48,221.87992778410117,0.0,0
49,221.89877850353625,0.0,0
50,222.0008088184749,0.0,0
51,222.05176865404619,0.0,0
52,222.0910254247108,0.0,0
53,222.0624347972181,0.0,0
54,222.17213122418426,0.0,0
55,222.1599097231455,0.0,0
56,222.29456760225872,0.0,0
57,222.40311640260947,0.0,0
58,222.50907278606957,0.0,0
59,222.6722103877884,0.0,0
60,222.77879601494143,0.0,0
61,222.8517171771457,0.0,0
62,222.9730055552417,0.0,0
63,223.02137271127287,0.0,0
